id,type,room,start,end,language,zh,en,speakers,tags,co_write,qa,slide,record,uri,year
RMUVCL,yo06v5,TR209,2024-08-03 10:30:00,2024-08-03 11:00:00,English,"{'title': 'Open Source Firmware Intro 開源韌體社群簡介', 'description': '- 介紹開源韌體社群\r\n- 推介Open Source Firmware Foundation'}","{'title': 'Introduction to Open Source Firmware Community', 'description': '- A brief intro to Open Source Firmware Community\r\n- Overview on Open Source Firmware Foundation'}",[],"['en', 'Elementary']",https://hackmd.io/@coscup/HyNEbXOYR,,,,https://coscup.org/2024/session/RMUVCL,2024
JKVYZA,e431ic,RB105,2024-08-03 08:45:00,2024-08-03 09:00:00,Chinese,"{'title': 'COSCUP 2024: Welcome Day 1', 'description': 'Welcome to COSCUP 2024'}","{'title': 'COSCUP 2024: Welcome Day 1', 'description': 'Welcome to COSCUP 2024'}","['ALTLDJ', 'ZFW33N']","['zh-tw', 'Elementary']",https://hackmd.io/@coscup/r1fhMXuKA,,,,https://coscup.org/2024/session/JKVYZA,2024
W37FT8,7k9swr,TR409-2,2024-08-04 10:45:00,2024-08-04 11:15:00,English,"{'title': 'Improve your postgres performance with PoWA', 'description': '[PoWA](https://powa.readthedocs.io/en/latest/) is a postgres-centric and extensible workload analyzer that gives a broad overview of what is happening on a postgres server and its various subsystems.\r\n\r\nIf you hit a performance problem on your database, PoWA can tell you why!'}","{'title': 'Improve your postgres performance with PoWA', 'description': '[PoWA](https://powa.readthedocs.io/en/latest/) is a postgres-centric and extensible workload analyzer that gives a broad overview of what is happening on a postgres server and its various subsystems.\r\n\r\nIf you hit a performance problem on your database, PoWA can tell you why!'}",['XZ7VJE'],"['en', 'Middle']",https://hackmd.io/@coscup/BkVgwfdYR,,,,https://coscup.org/2024/session/W37FT8,2024
7RACAB,k0cyfl,RB105,2024-08-04 13:00:00,2024-08-04 13:30:00,Chinese,"{'title': '心理諮商如何面對資訊科技的浪潮', 'description': '心理諮商如何面對資訊科技的浪潮'}","{'title': 'How Psychological Counseling Faces the Wave of Information Technology', 'description': 'With the rapid development of information technology, the field of psychological counseling is actively adapting and integrating new technologies. Online counseling platforms have broken geographical barriers, allowing clients to receive professional help regardless of their location, which is especially important for those with high transportation costs. However, this also brings challenges such as communication security and client data confidentiality. Additionally, mental health applications provide more AI resources with significant auxiliary effects, but their effectiveness and reliability still need further research. AI and big data are transforming mental health assessment and intervention methods, helping to enhance psychological cognition and assist in case management. However, balancing the application of technology with human care to ensure that technology complements professional practice is an important issue for the future.'}",['XAB8SZ'],"['zh-tw', 'Elementary']",https://hackmd.io/@coscup/HyLtzXdtA,,,,https://coscup.org/2024/session/7RACAB,2024
UZGEK7,k0cyfl,RB101,2024-08-03 13:00:00,2024-08-03 13:30:00,Chinese,"{'title': '藝術家之死：數位時代下，如何作為一位創作者，並且存活', 'description': '藝術家之死：數位時代下，如何作為一位創作者，並且存活'}","{'title': 'The Death of the Artist: How to Survive as a Creator in the Digital Age', 'description': '“The Death of the Artist” discusses two perspectives on being an artist in this era: Silicon Valley’s tech optimists believe there’s no better time to be an artist, as technological advances have drastically reduced the cost of creation and distribution. On the other hand, critics argue, “If everyone is an artist, then no one is truly an artist.”\r\n\r\nRegardless, the relationship between creators and money, production, and consumption has fundamentally changed in the internet age. This talk, from the perspective of a podcast industry advocate, shares observations on how the podcast scene in Taiwan has evolved from a niche hobby to nearing mainstream acceptance. It will delve into insights on audio creators and what it means to be a creator in this era.'}",['QBJJ3J'],"['zh-tw', 'Elementary']",https://hackmd.io/@coscup/HyUGzmOYR,,,,https://coscup.org/2024/session/UZGEK7,2024
JQWQCS,yo06v5,TR410,2024-08-04 13:00:00,2024-08-04 16:00:00,Chinese,"{'title': 'Firmware Hackathon', 'description': 'Come and join Open Source Firmware Hackathon! We have great stuffs to demo and help you to learn more and hands on.'}","{'title': 'Firmware Hackathon', 'description': 'Come and join Open Source Firmware Hackathon! We have great stuffs to demo and help you to learn more and hands on.'}",['MQYZKL'],"['zh-tw', 'Elementary']",https://hackmd.io/@coscup/Hy62-XOKR,,,,https://coscup.org/2024/session/JQWQCS,2024
3YEB7Y,uheyar,RB102,2024-08-04 10:00:00,2024-08-04 10:30:00,Chinese,"{'title': '簡單用 Chrome Extension 接 Gemini API (下 Prompt) 就能實作文章摘要工具參加 Google\xa0百萬美金挑戰賽', 'description': '<h2>大綱</h2>\r\n    <ul>\r\n        <li><strong>架構</strong></li>\r\n        <ul>\r\n            <li>extension call gemini api (prompt) with webpage content show on popup.html</li>\r\n        </ul>\r\n        <li><strong>Chrome Extension 介紹</strong></li>\r\n        <ul>\r\n            <li>Chrome Extension 範例</li>\r\n        </ul>\r\n        <li><strong>Gemini 介紹</strong></li>\r\n        <ul>\r\n            <li>API</li>\r\n            <ul>\r\n                <li>用 Chrome Extension 呼叫範例</li>\r\n            </ul>\r\n            <li>附帶一提：未來 chrome 會內建 gemini nano</li>\r\n            <ul>\r\n                <li>操作用 Chrome Extension 呼叫範例</li>\r\n            </ul>\r\n        </ul>\r\n        <li><strong>實作</strong></li>\r\n        <ul>\r\n            <li>加 prompt 完成 網頁文字內容總結 extension</li>\r\n        </ul>\r\n        <li><strong>Q&A</strong></li>\r\n    </ul>\r\n    <h2>詳細內容</h2>\r\n    <h3>架構</h3>\r\n    <p>描述如何透過 Chrome Extension 呼叫 Gemini API，將網頁內容顯示在 popup.html 中。</p>\r\n    <h3>Chrome Extension 介紹</h3>\r\n    <p>簡介什麼是 Chrome Extension 及其功能。</p>\r\n    <p>提供一個 Chrome Extension 的範例，展示其基本功能和操作。</p>\r\n    <h3>Gemini 介紹</h3>\r\n    <p>概述 Gemini API 及其用途。</p>\r\n    <p>提供用 Chrome Extension 呼叫 Gemini API 的範例，展示如何進行 API 請求和接收回應。</p>\r\n    <p>提及未來 Chrome 將內建 Gemini Nano，這將使操作更加方便。</p>\r\n    <p>展示如何使用 Chrome Extension 呼叫 Gemini Nano，強調其簡易性和高效性。</p>\r\n    <h3>實作</h3>\r\n    <p>演示如何透過加 prompt 完成網頁文字內容總結的 Chrome Extension。</p>\r\n    <p>詳細步驟包括：</p>\r\n    <ul>\r\n        <li>建立 Chrome Extension 專案。</li>\r\n        <li>設定 manifest.json 文件。</li>\r\n        <li>實現 popup.html 和 popup.js，處理用戶輸入和 API 呼叫。</li>\r\n        <li>渲染 API 回應結果，展示總結內容。</li>\r\n    </ul>\r\n    <h3>Q&A</h3>\r\n    <p>解答聽眾的問題，針對實作細節、技術難點以及參賽相關事項提供解釋。</p>'}","{'title': 'Simply use the chrome extension to connect to the gemini API (prompt below) to participate in the Google Million Dollar Challenge', 'description': '<h2>大綱</h2>\r\n    <ul>\r\n        <li><strong>架構</strong></li>\r\n        <ul>\r\n            <li>extension call gemini api (prompt) with webpage content show on popup.html</li>\r\n        </ul>\r\n        <li><strong>Chrome Extension 介紹</strong></li>\r\n        <ul>\r\n            <li>Chrome Extension 範例</li>\r\n        </ul>\r\n        <li><strong>Gemini 介紹</strong></li>\r\n        <ul>\r\n            <li>API</li>\r\n            <ul>\r\n                <li>用 Chrome Extension 呼叫範例</li>\r\n            </ul>\r\n            <li>附帶一提：未來 chrome 會內建 gemini nano</li>\r\n            <ul>\r\n                <li>操作用 Chrome Extension 呼叫範例</li>\r\n            </ul>\r\n        </ul>\r\n        <li><strong>實作</strong></li>\r\n        <ul>\r\n            <li>加 prompt 完成 網頁文字內容總結 extension</li>\r\n        </ul>\r\n        <li><strong>Q&A</strong></li>\r\n    </ul>\r\n    <h2>詳細內容</h2>\r\n    <h3>架構</h3>\r\n    <p>描述如何透過 Chrome Extension 呼叫 Gemini API，將網頁內容顯示在 popup.html 中。</p>\r\n    <h3>Chrome Extension 介紹</h3>\r\n    <p>簡介什麼是 Chrome Extension 及其功能。</p>\r\n    <p>提供一個 Chrome Extension 的範例，展示其基本功能和操作。</p>\r\n    <h3>Gemini 介紹</h3>\r\n    <p>概述 Gemini API 及其用途。</p>\r\n    <p>提供用 Chrome Extension 呼叫 Gemini API 的範例，展示如何進行 API 請求和接收回應。</p>\r\n    <p>提及未來 Chrome 將內建 Gemini Nano，這將使操作更加方便。</p>\r\n    <p>展示如何使用 Chrome Extension 呼叫 Gemini Nano，強調其簡易性和高效性。</p>\r\n    <h3>實作</h3>\r\n    <p>演示如何透過加 prompt 完成網頁文字內容總結的 Chrome Extension。</p>\r\n    <p>詳細步驟包括：</p>\r\n    <ul>\r\n        <li>建立 Chrome Extension 專案。</li>\r\n        <li>設定 manifest.json 文件。</li>\r\n        <li>實現 popup.html 和 popup.js，處理用戶輸入和 API 呼叫。</li>\r\n        <li>渲染 API 回應結果，展示總結內容。</li>\r\n    </ul>\r\n    <h3>Q&A</h3>\r\n    <p>解答聽眾的問題，針對實作細節、技術難點以及參賽相關事項提供解釋。</p>'}",['PTFTQU'],"['zh-tw', 'Middle']",https://hackmd.io/@coscup/HJhssMdtC,,,,https://coscup.org/2024/session/3YEB7Y,2024
RMPCTJ,mmgptz,TR211,2024-08-03 14:00:00,2024-08-03 14:30:00,English,"{'title': 'Empowering Youth Leaders for Sustainable Development Goals in Open Mapping: Introducing #YouthMappers', 'description': 'This proposal aims to have a discussion at COSCUP 2024 in Taiwan about the crucial impact of young leaders on Sustainable Development Goals (SDGs), particularly those in the YouthMappers community in Asia. By utilizing open geospatial technologies and involving the community, this session aims to showcase projects developed by YouthMappers and explore methods to enable young leaders to significantly contribute to sustainable development in the region.'}","{'title': 'Empowering Youth Leaders for Sustainable Development Goals in Open Mapping: Introducing #YouthMappers', 'description': 'This proposal aims to have a discussion at COSCUP 2024 in Taiwan about the crucial impact of young leaders on Sustainable Development Goals (SDGs), particularly those in the YouthMappers community in Asia. By utilizing open geospatial technologies and involving the community, this session aims to showcase projects developed by YouthMappers and explore methods to enable young leaders to significantly contribute to sustainable development in the region.'}",['AHHZMD'],"['en', 'Elementary']",https://hackmd.io/@coscup/S1cMrGOtA,,,,https://coscup.org/2024/session/RMPCTJ,2024
XWKCBM,e431ic,RB105,2024-08-03 09:00:00,2024-08-03 09:45:00,Chinese,"{'title': '[Prime Session] Generalist real-time computer vision model', 'description': '通才模型能夠以一個模型處理各式各樣的任務。然而，現今的通才模型非常龐大且非常耗時，大大限縮了通才模型在現實生活中的應用層面。在這場演講中，我們將介紹我們如何將通才電腦視覺模型向即時系統推進。\r\n\r\n搶先在 Slido 提問：https://app.sli.do/event/uR4FwktBjWUTbrpbkz8Fz4\r\n\r\n共筆: [https://hackmd.io/lKSWOVYxS26zA8jSDKva6g](https://hackmd.io/lKSWOVYxS26zA8jSDKva6g)\r\n下方共筆連結待更新。'}","{'title': '[Prime Session] Generalist real-time computer vision model', 'description': '通才模型能夠以一個模型處理各式各樣的任務。然而，現今的通才模型非常龐大且非常耗時，大大限縮了通才模型在現實生活中的應用層面。在這場演講中，我們將介紹我們如何將通才電腦視覺模型向即時系統推進。\r\n\r\n搶先在 Slido 提問：https://app.sli.do/event/uR4FwktBjWUTbrpbkz8Fz4\r\n\r\n共筆: [https://hackmd.io/lKSWOVYxS26zA8jSDKva6g](https://hackmd.io/lKSWOVYxS26zA8jSDKva6g)\r\n下方共筆連結待更新。'}",['UYEC98'],"['zh-tw', 'Elementary', 'Prime']",https://hackmd.io/@coscup/rkYpfQuFR,,,,https://coscup.org/2024/session/XWKCBM,2024
7PU7KD,udtwca,TR615,2024-08-04 10:00:00,2024-08-04 16:00:00,Chinese,"{'title': '工作坊 - 從 0 到 1 用開源軟體 WordPress 建立自己的網站', 'description': '第一堂：網域 DNS 主機概念介紹 30 mins\r\n第二堂：WordPress 部落格網站架設實戰 (前後台介紹) 60 mins\r\n第三堂：Elementor 外掛應用 30 mins\r\n第四堂：結合 AI 工具自動產生部落格文章 30 mins\r\n第五堂：備份和安全性外掛介紹與安裝教學 30 mins\r\n\r\n(每堂工作坊中間有 20 分鐘休息時間)'}","{'title': '工作坊 - 從 0 到 1 用開源軟體 WordPress 建立自己的網站', 'description': '第一堂：網域 DNS 主機概念介紹 30 mins\r\n第二堂：WordPress 部落格網站架設實戰 (前後台介紹) 60 mins\r\n第三堂：Elementor 外掛應用 30 mins\r\n第四堂：結合 AI 工具自動產生部落格文章 30 mins\r\n第五堂：備份和安全性外掛介紹與安裝教學 30 mins\r\n\r\n(每堂工作坊中間有 20 分鐘休息時間)'}","['MYDS89', 'GX3MT7', 'K8JT3K', '7NMFHT']","['zh-tw', 'Elementary']",https://hackmd.io/@coscup/ByRm4X_FA,,,,https://coscup.org/2024/session/7PU7KD,2024
QFRZMN,0mhki6,TR514,2024-08-04 10:45:00,2024-08-04 11:15:00,English,"{'title': 'Learning Mathematics with Lean', 'description': 'Yuki Otsuka provides an overview of Lean4 and provides materials and tools to help you learn. Lean4 is an open-source theorem-proving support system and an environment that can also be used as a programming language. His presentation will not be an industrial introduction to the theorem-proving support system but will be introducing Lean4 as an environment for learning logic and mathematics through Lean4.'}","{'title': 'Learning Mathematics with Lean', 'description': 'Yuki Otsuka provides an overview of Lean4 and provides materials and tools to help you learn. Lean4 is an open-source theorem-proving support system and an environment that can also be used as a programming language. His presentation will not be an industrial introduction to the theorem-proving support system but will be introducing Lean4 as an environment for learning logic and mathematics through Lean4.'}",['MTNWET'],"['en', 'Elementary']",https://hackmd.io/@coscup/SkvvvmuFR,,,,https://coscup.org/2024/session/QFRZMN,2024
KHKQTP,l0gknt,TR213,2024-08-04 15:30:00,2024-08-04 16:00:00,Chinese,"{'title': 'A short experience to perform fuzzing and formal verification', 'description': 'In this session, the speaker will explore the basics of fuzzing testing and formal verification by using simple examples and share the experience and the tools for performing fuzzing testing and formal verification.'}","{'title': 'A short guide to perform fuzzing and formal verification', 'description': 'In this session, the speaker will explore the basics of fuzzing testing and formal verification by using simple examples and share the experience and the tools for performing fuzzing testing and formal verification.'}",['88NGQB'],"['zh-tw', 'Middle']",https://hackmd.io/@coscup/BynvEGOtC,,,,https://coscup.org/2024/session/KHKQTP,2024
UBNFWK,dfqj0g,TR412-2,2024-08-03 11:20:00,2024-08-03 11:50:00,Chinese,"{'title': 'Zenoh：與各種開源軟體擦出的火花', 'description': '[Zenoh](https://zenoh.io/) 是 Eclipse Foundation 下的開源軟體，有極佳通訊的效能，適合用在機器人和自駕車領域中各個節點之間的通訊。\r\n目前此技術已經被 ROS 2、Autoware、Eclipse uProtocol 等專案採納。\r\n本次分享會介紹 Zenoh 以及我們如何將其與其他開源社群合作並整合的經驗和故事。'}","{'title': 'Zenoh: How to bridge different open-source technologies', 'description': ""Zenoh is an open-source project under the Eclipse Foundation. Zenoh can be used to connect different components inside robots or automotives because of its good performance. Now it's applied by many projects, such as ROS 2, Autoware, Eclipse uProtocol, etc. In the talk, I'll introduce Zenoh and share how we collaborate with other open-source communities and do the integration.""}",['Y7LFZB'],"['zh-tw', 'Elementary']",https://hackmd.io/@coscup/SJvMRGdKC,,,,https://coscup.org/2024/session/UBNFWK,2024
8WNBFB,96lixz,TR513,2024-08-03 13:40:00,2024-08-03 14:10:00,Chinese,"{'title': 'SimEvo: 結合 C++ 效能和 Python 腳本化的天擇模擬器', 'description': '本次介紹 [SimEvo](https://github.com/YJack0000/SimEvo/tree/main)，一個核心引擎採用 C++ 實作功能和算法並透過 [Pybind11](https://github.com/pybind/pybind11) 提供簡單的 Python 介面的天擇模擬器。SimEvo 讓使用者模擬生態系統中生物基於基因特徵進行反應、互動和繁殖。\r\n我將展示專案架構，說明如何在 C++ 端實作計算密集部分，並將主要 API 端口至 Python，讓使用者可以更輕易地透過腳本客製化不同場景。'}","{'title': 'SimEvo: An Efficient Natural Selection Simulator with C++ Performance and Python Scripting', 'description': 'This presentation introduces SimEvo, a natural selection simulator with a core engine implemented in C++ for functionality and algorithms, and a simple Python interface provided via Pybind11. SimEvo allows users to simulate ecosystems where organisms react, interact, and reproduce based on genetic traits. I will showcase the project architecture, explaining how computationally intensive parts are handled in C++ and how the main APIs are ported to Python, enabling users to easily customize different scenarios through scripting.'}",['TMJFVV'],"['zh-tw', 'Elementary']",https://hackmd.io/@coscup/r1c7xMdYC,,,,https://coscup.org/2024/session/8WNBFB,2024
VMRPXE,sss2ki,TR410,2024-08-03 13:40:00,2024-08-03 14:10:00,English,"{'title': 'Chat with MySQL with LLM and Langchain', 'description': 'Learn how to modernize your MySQL applications with a natural language chat interface using popular large language models such as OpenAI, Cohere, and many others.\r\nIn this session, we will use one of the popular frameworks, Langchain to build a simple chat application to answer your questions on data stored in MySQL.'}","{'title': 'Chat with MySQL with LLM and Langchain', 'description': 'Learn how to modernize your MySQL applications with a natural language chat interface using popular large language models such as OpenAI, Cohere, and many others.\r\nIn this session, we will use one of the popular frameworks, Langchain to build a simple chat application to answer your questions on data stored in MySQL.'}",['SWBLV8'],"['en', 'Elementary']",https://hackmd.io/@coscup/BkITxXdK0,,,,https://coscup.org/2024/session/VMRPXE,2024
GJE8WW,adpakg,TR512,2024-08-04 13:00:00,2024-08-04 13:30:00,Chinese,"{'title': '民間文化資產教育的動能', 'description': '文化資產教育伴隨著國內近年來在地文化保存意識、社區總體營造、國民民族意識燈的培力，自解嚴以來在社會民主化的推動下，文化資產保存在民間意識興起，並協助推動了文化資產的保存與傳習。\r\n透過民間的文化資產團體，藉由有興趣的同好會者共同定期於每月一個晚上聚會、上課，邀請會內外學員進行交流，並舉辦戶外參訪活動，針對個案議題進行深入探討、調查，發揮由下而上的文化資產推動力量與在地知識學的培力，雖非公部門支持系統進行推動，但已在文化資產教育及推動上深根，並藉由同儕相互分享、自主學習，提升增進文化資產保存教育、推動的功能。'}","{'title': '民間文化資產教育的動能', 'description': '文化資產教育伴隨著國內近年來在地文化保存意識、社區總體營造、國民民族意識燈的培力，自解嚴以來在社會民主化的推動下，文化資產保存在民間意識興起，並協助推動了文化資產的保存與傳習。\r\n透過民間的文化資產團體，藉由有興趣的同好會者共同定期於每月一個晚上聚會、上課，邀請會內外學員進行交流，並舉辦戶外參訪活動，針對個案議題進行深入探討、調查，發揮由下而上的文化資產推動力量與在地知識學的培力，雖非公部門支持系統進行推動，但已在文化資產教育及推動上深根，並藉由同儕相互分享、自主學習，提升增進文化資產保存教育、推動的功能。'}",['ZRLS7R'],"['zh-tw', 'Elementary']",https://hackmd.io/@coscup/rJW_NQOtA,,,,https://coscup.org/2024/session/GJE8WW,2024
ALQXVU,kze75f,TR513,2024-08-03 10:40:00,2024-08-03 11:10:00,Chinese,"{'title': '開源企業軟體 Odoo - 從導入到推廣的職涯之旅', 'description': '這次演講將帶你探索 Odoo 所帶來的機遇，以及在企業發展路上應該留意的障礙。\r\n\r\nOdoo 是一款開源企業軟體，能夠強化企業的營運管理。你可以把它想像成企業軟體界的 WordPress，將知名軟體如 SAP、Salesforce 和 Shopify 等的部分功能融合在一起，並無縫地串接成雲端軟體。\r\n\r\n在這次演講中，我們將分享我們初次接觸Odoo的經驗，讓有興趣的朋友們可以跟隨我們的故事和觀點，了解Odoo所帶來的機遇和挑戰，以及目前的推廣狀況和未來願景。'}","{'title': 'Open Source Business Software Odoo - Opportunities and Challenges', 'description': ""This presentation will give you insights into the opportunities Odoo brings and the stumbling blocks to watch out for on the road to prosperity.\r\n\r\nOdoo is an open-source enterprise software empowering businesses in operational management. Think of it as the WordPress of the business software world, seamlessly integrating functionalities from renowned software like SAP, Salesforce, Shopify, and more into a cloud-based solution.\r\n\r\nIn this presentation, we'll share our experiences with Odoo from the moment we first encountered it. Interested individuals can follow our journey and perspective to understand the opportunities and challenges Odoo presents, as well as the current promotion status and future vision.""}","['VJCP9S', 'NSDZF7']","['zh-tw', 'Elementary']",https://hackmd.io/@coscup/Hk-kS7_YC,,,,https://coscup.org/2024/session/ALQXVU,2024
A79S3H,k0cyfl,RB105,2024-08-04 11:00:00,2024-08-04 11:30:00,Chinese,"{'title': '從社群到個人，我們該怎麼共享又獨立', 'description': '如果不是強者，能夠在開源社群活下來嗎？這個短講是關於一位非營利組織工作者在開源社群g0v挖坑(disfactory)五年後，心裡一直想的事。'}","{'title': 'From Community to Individual: How Can We Share and Remain Independent?', 'description': 'Does one have to be a strong individual to survive in the open-source community? This talk reflects on the thoughts of an NPO worker who has a project in the g0v open-source community (Disfactory) for five years.\r\n\r\nFive years ago, this project led me to see how structured and institutionalized organizations interact with open and collaborative communities. It is not easy, but focusing on key periods communications can allow these vastly different cultures to merge into a sustainable and impactful project.\r\n\r\nHowever, this project also revealed the allure and sharpness of the open-source community. Open sharing means a cacophony of voices; if participants lack a clear sense of self and strong mental resilience, how can they express themselves amid the noise? How can we share and remain independent?'}",['ZQQMVP'],"['zh-tw', 'Elementary']",https://hackmd.io/@coscup/S1Jdz7_KR,,,,https://coscup.org/2024/session/A79S3H,2024
C8GA8N,adpakg,TR512,2024-08-04 14:00:00,2024-08-04 14:30:00,Chinese,"{'title': '旋轉、跳躍＿＿＿＿＿的文化轉譯？', 'description': '如何從不同身份與角度，從藝術創作、文史工作者、社區事務參與者，運用各種方法使地方發生各種可能。'}","{'title': '旋轉、跳躍＿＿＿＿＿的文化轉譯？', 'description': '如何從不同身份與角度，從藝術創作、文史工作者、社區事務參與者，運用各種方法使地方發生各種可能。'}",['3WSTTL'],"['zh-tw', 'Elementary']",https://hackmd.io/@coscup/B1dtE7dY0,,,,https://coscup.org/2024/session/C8GA8N,2024
QPPCZJ,dfqj0g,TR412-2,2024-08-04 10:40:00,2024-08-04 11:10:00,Chinese,"{'title': '開放文化與資安管理的邊界', 'description': '開放文化與資安管理是衝突的嗎？本議程將從工程師的角度出發，探索「開源／CC授權 vs 資安管理」的邊界。'}","{'title': '開放文化與資安管理的邊界', 'description': '開放文化與資安管理是衝突的嗎？本議程將從工程師的角度出發，探索「開源／CC授權 vs 資安管理」的邊界。'}",['FW9HYA'],"['zh-tw', 'Elementary']",https://hackmd.io/@coscup/rkfhRG_KA,,,,https://coscup.org/2024/session/QPPCZJ,2024
7SGU3D,uheyar,RB102,2024-08-03 10:00:00,2024-08-03 10:30:00,Chinese,"{'title': 'Gemini Code Assist for Cloud Architects', 'description': '在本講座中，將分享以下內容：\r\n- Gemini Code Assist 是什麼？Gemini Code Assist 如何運作？\r\n- Gemini Code Assist 如何幫助雲端架構師？\r\n- 使用 Gemini Code Assist 的常見方法 / 意見交流'}","{'title': 'Gemini Code Assist for Cloud Architects', 'description': '在本講座中，將分享以下內容：\r\n- Gemini Code Assist 是什麼？Gemini Code Assist 如何運作？\r\n- Gemini Code Assist 如何幫助雲端架構師？\r\n- 使用 Gemini Code Assist 的常見方法 / 意見交流'}",['QBY97S'],"['zh-tw', 'Elementary']",https://hackmd.io/@coscup/rkkfjfdtC,,,,https://coscup.org/2024/session/7SGU3D,2024
G3TK8K,1af4ws,TR211,2024-08-04 14:50:00,2024-08-04 15:20:00,Chinese,"{'title': 'How to Write Video Plugins: Expand the Power of Open Source Programmatic Video Manipulating Tools', 'description': '當我們想要嘗試做一些影片處理(例如普通的filter，用AI加工，等等)時，編寫一個 plugin 來擴展既有的開源影片處理工具的功能，是實現影片處理預期結果的各種方案中，CP值最高的方式。\r\n因此，這裡將透過閱讀一些 AviSynth/VapourSynth 影像 plugin 原始碼，包含個人寫過的 plugin 原始碼，來分享經驗。究竟自製 plugin 在接收、處理、輸出視訊串流時，應該注意哪些細節。'}","{'title': 'How to Write Video Plugins: Expand the Power of Open Source Programmatic Video Manipulating Tools', 'description': 'When we want to try some prototyping of manipulating video streams (using formal filters, AI based processing, etc.), writing a plugin to expand open source video manipulating tools is the best cost performance way to accomplish the video processing result we expected.\r\nThus, I will share my experiences by introducing the source code of AviSynth/VapourSynth video plugins, including plugins I made, to tell everyone what details we should pay attention to when receiving, processing, and emitting video streams.'}",['USGGDS'],"['zh-tw', 'Middle']",https://hackmd.io/@coscup/S1wZLzOF0,,,,https://coscup.org/2024/session/G3TK8K,2024
JFUU3W,02bf7j,TR413-1,2024-08-03 12:40:00,2024-08-03 13:10:00,Chinese,"{'title': '開源專案的商業困境', 'description': '大家可以看到市面上相當多的開源專案，其中不乏由商業公司發起，並同時提供相關的商業產品的開源專案。但這些商業開源專案背後，總是會有一些困境。如何在開源與商業之中取得平衡，就是每個公司需要探討的一個問題。此議程會討論幾個知名開源專案對於這些困境所選擇的方針以及相關的結果。'}","{'title': '開源專案的商業困境', 'description': '大家可以看到市面上相當多的開源專案，其中不乏由商業公司發起，並同時提供相關的商業產品的開源專案。但這些商業開源專案背後，總是會有一些困境。如何在開源與商業之中取得平衡，就是每個公司需要探討的一個問題。此議程會討論幾個知名開源專案對於這些困境所選擇的方針以及相關的結果。'}",['JWUFMA'],"['zh-tw', 'Elementary']",https://hackmd.io/@coscup/SJnVazOt0,,,,https://coscup.org/2024/session/JFUU3W,2024
SDLNEV,02bf7j,TR413-1,2024-08-03 10:00:00,2024-08-03 10:30:00,English,"{'title': 'Improving FOSS Security', 'description': 'This talk is about best practices FOSS projects can use to preempt and respond to vulnerabilities. How security reports are received and how security patches are announced makes a huge impact on overall security. A few precautions and a plan goes a long way to protect end users. For example, every project should have a Security Policy so that researchers know where to report an issue. And a plan for who to notify during coordinated response disclosure will make communication smoother. This talk is for FOSS projects who want to protect their users by taking responsibility of their security.'}","{'title': 'Improving FOSS Security', 'description': 'This talk is about best practices FOSS projects can use to preempt and respond to vulnerabilities. How security reports are received and how security patches are announced makes a huge impact on overall security. A few precautions and a plan goes a long way to protect end users. For example, every project should have a Security Policy so that researchers know where to report an issue. And a plan for who to notify during coordinated response disclosure will make communication smoother. This talk is for FOSS projects who want to protect their users by taking responsibility of their security.'}",['HLEZEC'],"['en', 'Elementary']",https://hackmd.io/@coscup/HyH1TGdtA,,,,https://coscup.org/2024/session/SDLNEV,2024
XNHKQK,sss2ki,TR410,2024-08-03 14:20:00,2024-08-03 14:50:00,English,"{'title': 'MySQL Server Sizing and Configuration for Performance and Stability', 'description': ""Whether you're a seasoned DBA seeking to squeeze every last drop of performance from your database servers or a developer aiming to optimize query execution times, this session offers MySQL server sizing, baseline configuration and tuning for performance fundamentals. Performance tuning isn't just about optimizing queries—it's also about right-sizing your MySQL infrastructure to meet the demands of your workload. We'll discuss strategies for sizing and configuring MySQL servers appropriately, taking into account factors such as memory, CPU, and storage requirements.""}","{'title': 'MySQL Server Sizing and Configuration for Performance and Stability', 'description': ""Whether you're a seasoned DBA seeking to squeeze every last drop of performance from your database servers or a developer aiming to optimize query execution times, this session offers MySQL server sizing, baseline configuration and tuning for performance fundamentals. Performance tuning isn't just about optimizing queries—it's also about right-sizing your MySQL infrastructure to meet the demands of your workload. We'll discuss strategies for sizing and configuring MySQL servers appropriately, taking into account factors such as memory, CPU, and storage requirements.""}",['MNXBTY'],"['en', 'Professional']",https://hackmd.io/@coscup/BJhCgQOFA,,,,https://coscup.org/2024/session/XNHKQK,2024
